entry,at,order
"Turn: 7♠, Q♣, 8♠ [8♦]",2021-12-26T07:21:06.181Z,164050326618100
"""jfry420 @ DxyNbHixrW"" calls 12",2021-12-26T07:21:05.357Z,164050326535700
"""home game hero @ dgEP-4bywu"" raises to 12",2021-12-26T07:21:04.159Z,164050326415900
"""jfry420 @ DxyNbHixrW"" bets 2",2021-12-26T07:20:57.271Z,164050325727100
"""home game hero @ dgEP-4bywu"" checks",2021-12-26T07:20:56.046Z,164050325604600
"Flop:  [7♠, Q♣, 8♠]",2021-12-26T07:20:53.096Z,164050325309600
"""home game hero @ dgEP-4bywu"" checks",2021-12-26T07:20:52.182Z,164050325218200
"""mikehaze @ WQjt0Mpf2J"" folds",2021-12-26T07:20:51.254Z,164050325125400
"""melon @ 6k_YazKYoG"" folds",2021-12-26T07:20:48.152Z,164050324815200
"""Mot$ @ m8FyQBZbz8"" folds",2021-12-26T07:20:44.025Z,164050324402500
"""how @ v1kEn2eTHk"" folds",2021-12-26T07:20:43.014Z,164050324301400
"""mangarino @ UBRS2d0ZyT"" folds",2021-12-26T07:20:42.124Z,164050324212400
"""ArtOswald @ 8_dAbfzHo8"" folds",2021-12-26T07:20:41.283Z,164050324128300
"""jfry420 @ DxyNbHixrW"" calls 2",2021-12-26T07:20:40.359Z,164050324035900
"""isaacwu @ Mhf_KbfDe4"" folds",2021-12-26T07:20:39.470Z,164050323947000
"""home game hero @ dgEP-4bywu"" posts a big blind of 2",2021-12-26T07:20:38.084Z,164050323808412
"""mikehaze @ WQjt0Mpf2J"" posts a small blind of 1",2021-12-26T07:20:38.084Z,164050323808411
"Your hand is 3♦, J♦",2021-12-26T07:20:38.084Z,164050323808406
"Player stacks: #1 ""isaacwu @ Mhf_KbfDe4"" (104) | #2 ""jfry420 @ DxyNbHixrW"" (100) | #3 ""ArtOswald @ 8_dAbfzHo8"" (359) | #5 ""mangarino @ UBRS2d0ZyT"" (121) | #6 ""how @ v1kEn2eTHk"" (271) | #7 ""Mot$ @ m8FyQBZbz8"" (453) | #8 ""melon @ 6k_YazKYoG"" (208) | #9 ""mikehaze @ WQjt0Mpf2J"" (143) | #10 ""home game hero @ dgEP-4bywu"" (1801)",2021-12-26T07:20:38.084Z,164050323808401
"-- starting hand #473  (No Limit Texas Hold'em) (dealer: ""melon @ 6k_YazKYoG"") --",2021-12-26T07:20:38.084Z,164050323808400
"-- ending hand #472 --",2021-12-26T07:20:35.161Z,164050323516102
"""mikehaze @ WQjt0Mpf2J"" collected 37 from pot",2021-12-26T07:20:35.161Z,164050323516101
"Uncalled bet of 18 returned to ""mikehaze @ WQjt0Mpf2J""",2021-12-26T07:20:35.161Z,164050323516100
"""jfry420 @ DxyNbHixrW"" folds",2021-12-26T07:20:34.289Z,164050323428900
"""mikehaze @ WQjt0Mpf2J"" bets 18",2021-12-26T07:20:21.599Z,164050322159900
"River: J♣, 4♥, 6♠, 9♥ [10♦]",2021-12-26T07:20:14.271Z,164050321427100
"""jfry420 @ DxyNbHixrW"" calls 10",2021-12-26T07:20:13.465Z,164050321346500
"""mikehaze @ WQjt0Mpf2J"" bets 10",2021-12-26T07:20:12.021Z,164050321202100
"Turn: J♣, 4♥, 6♠ [9♥]",2021-12-26T07:20:07.873Z,164050320787300
"""jfry420 @ DxyNbHixrW"" checks",2021-12-26T07:20:06.941Z,164050320694100
"""mikehaze @ WQjt0Mpf2J"" checks",2021-12-26T07:20:05.667Z,164050320566700
"Flop:  [J♣, 4♥, 6♠]",2021-12-26T07:20:01.315Z,164050320131500
"""jfry420 @ DxyNbHixrW"" calls 8",2021-12-26T07:20:00.478Z,164050320047800
"""mikehaze @ WQjt0Mpf2J"" raises to 8",2021-12-26T07:19:58.786Z,164050319878600
"""melon @ 6k_YazKYoG"" folds",2021-12-26T07:19:52.724Z,164050319272400
"""Mot$ @ m8FyQBZbz8"" folds",2021-12-26T07:19:45.218Z,164050318521800
"""how @ v1kEn2eTHk"" folds",2021-12-26T07:19:44.351Z,164050318435100
"""mangarino @ UBRS2d0ZyT"" folds",2021-12-26T07:19:43.325Z,164050318332500
"""ArtOswald @ 8_dAbfzHo8"" folds",2021-12-26T07:19:42.417Z,164050318241700
"""jfry420 @ DxyNbHixrW"" calls 2",2021-12-26T07:19:41.400Z,164050318140000
"""isaacwu @ Mhf_KbfDe4"" folds",2021-12-26T07:19:40.333Z,164050318033300
"""home game hero @ dgEP-4bywu"" folds",2021-12-26T07:19:37.665Z,164050317766500
"""mikehaze @ WQjt0Mpf2J"" posts a big blind of 2",2021-12-26T07:19:33.688Z,164050317368812
"""melon @ 6k_YazKYoG"" posts a small blind of 1",2021-12-26T07:19:33.688Z,164050317368811
"Your hand is A♥, 3♠",2021-12-26T07:19:33.688Z,164050317368806
"Player stacks: #1 ""isaacwu @ Mhf_KbfDe4"" (104) | #2 ""jfry420 @ DxyNbHixrW"" (118) | #3 ""ArtOswald @ 8_dAbfzHo8"" (359) | #5 ""mangarino @ UBRS2d0ZyT"" (121) | #6 ""how @ v1kEn2eTHk"" (271) | #7 ""Mot$ @ m8FyQBZbz8"" (453) | #8 ""melon @ 6k_YazKYoG"" (209) | #9 ""mikehaze @ WQjt0Mpf2J"" (124) | #10 ""home game hero @ dgEP-4bywu"" (1801)",2021-12-26T07:19:33.688Z,164050317368801
"-- starting hand #472  (No Limit Texas Hold'em) (dealer: ""Mot$ @ m8FyQBZbz8"") --",2021-12-26T07:19:33.688Z,164050317368800
"-- ending hand #471 --",2021-12-26T07:19:30.591Z,164050317059103
"""jfry420 @ DxyNbHixrW"" shows a Q♠, 8♣.",2021-12-26T07:19:30.591Z,164050317059102
"""how @ v1kEn2eTHk"" collected 81 from pot with Three of a Kind, K's (combination: K♥, K♠, K♦, 9♠, 7♥)",2021-12-26T07:19:30.591Z,164050317059101
"""how @ v1kEn2eTHk"" shows a 7♥, K♥.",2021-12-26T07:19:30.591Z,164050317059100
"""how @ v1kEn2eTHk"" calls 20",2021-12-26T07:19:29.764Z,164050316976400
"""jfry420 @ DxyNbHixrW"" bets 20",2021-12-26T07:19:28.184Z,164050316818400
"River: K♠, 9♠, 2♦, 5♠ [K♦]",2021-12-26T07:19:25.088Z,164050316508800
"""how @ v1kEn2eTHk"" calls 2",2021-12-26T07:19:24.245Z,164050316424500
"""jfry420 @ DxyNbHixrW"" bets 2",2021-12-26T07:19:22.451Z,164050316245100
"Turn: K♠, 9♠, 2♦ [5♠]",2021-12-26T07:19:19.981Z,164050315998100
"""how @ v1kEn2eTHk"" calls 9",2021-12-26T07:19:19.136Z,164050315913600
"""jfry420 @ DxyNbHixrW"" bets 9",2021-12-26T07:19:17.543Z,164050315754300
"Flop:  [K♠, 9♠, 2♦]",2021-12-26T07:19:13.576Z,164050315357600
"""jfry420 @ DxyNbHixrW"" calls 8",2021-12-26T07:19:12.704Z,164050315270400
"""melon @ 6k_YazKYoG"" folds",2021-12-26T07:19:11.763Z,164050315176300
"""Mot$ @ m8FyQBZbz8"" folds",2021-12-26T07:19:10.816Z,164050315081600
"""how @ v1kEn2eTHk"" raises to 8",2021-12-26T07:19:05.939Z,164050314593900
"""mangarino @ UBRS2d0ZyT"" folds",2021-12-26T07:19:02.096Z,164050314209600
"""ArtOswald @ 8_dAbfzHo8"" folds",2021-12-26T07:19:01.233Z,164050314123300
"""jfry420 @ DxyNbHixrW"" calls 2",2021-12-26T07:19:00.292Z,164050314029200
"""isaacwu @ Mhf_KbfDe4"" folds",2021-12-26T07:18:59.165Z,164050313916500
"""home game hero @ dgEP-4bywu"" folds",2021-12-26T07:18:58.155Z,164050313815500
"""mikehaze @ WQjt0Mpf2J"" folds",2021-12-26T07:18:57.237Z,164050313723700
"""melon @ 6k_YazKYoG"" posts a big blind of 2",2021-12-26T07:18:46.458Z,164050312645812
"""Mot$ @ m8FyQBZbz8"" posts a small blind of 1",2021-12-26T07:18:46.458Z,164050312645811
"Your hand is 7♥, K♥",2021-12-26T07:18:46.458Z,164050312645806
"Player stacks: #1 ""isaacwu @ Mhf_KbfDe4"" (104) | #2 ""jfry420 @ DxyNbHixrW"" (157) | #3 ""ArtOswald @ 8_dAbfzHo8"" (359) | #5 ""mangarino @ UBRS2d0ZyT"" (121) | #6 ""how @ v1kEn2eTHk"" (229) | #7 ""Mot$ @ m8FyQBZbz8"" (454) | #8 ""melon @ 6k_YazKYoG"" (211) | #9 ""mikehaze @ WQjt0Mpf2J"" (124) | #10 ""home game hero @ dgEP-4bywu"" (1801)",2021-12-26T07:18:46.458Z,164050312645801
"-- starting hand #471  (No Limit Texas Hold'em) (dealer: ""how @ v1kEn2eTHk"") --",2021-12-26T07:18:46.458Z,164050312645800
"-- ending hand #470 --",2021-12-26T07:18:43.453Z,164050312345302
"""jfry420 @ DxyNbHixrW"" collected 17 from pot",2021-12-26T07:18:43.453Z,164050312345301
"Uncalled bet of 8 returned to ""jfry420 @ DxyNbHixrW""",2021-12-26T07:18:43.453Z,164050312345300
"""home game hero @ dgEP-4bywu"" folds",2021-12-26T07:18:42.539Z,164050312253900
"""how @ v1kEn2eTHk"" folds",2021-12-26T07:18:41.571Z,164050312157100
"""jfry420 @ DxyNbHixrW"" bets 8",2021-12-26T07:18:39.494Z,164050311949400
"""home game hero @ dgEP-4bywu"" checks",2021-12-26T07:18:36.935Z,164050311693500
"""how @ v1kEn2eTHk"" checks",2021-12-26T07:18:35.885Z,164050311588500
"Turn: J♥, 9♠, 10♣ [10♠]",2021-12-26T07:18:32.076Z,164050311207600
"""jfry420 @ DxyNbHixrW"" checks",2021-12-26T07:18:31.184Z,164050311118400
"""home game hero @ dgEP-4bywu"" checks",2021-12-26T07:18:30.038Z,164050311003800
"""how @ v1kEn2eTHk"" checks",2021-12-26T07:18:27.925Z,164050310792500
"Flop:  [J♥, 9♠, 10♣]",2021-12-26T07:18:26.270Z,164050310627000
"""Mot$ @ m8FyQBZbz8"" folds",2021-12-26T07:18:25.389Z,164050310538900
"""how @ v1kEn2eTHk"" calls 5",2021-12-26T07:18:24.488Z,164050310448800
"""mangarino @ UBRS2d0ZyT"" folds",2021-12-26T07:18:22.701Z,164050310270100
"""ArtOswald @ 8_dAbfzHo8"" folds",2021-12-26T07:18:21.766Z,164050310176600
"""jfry420 @ DxyNbHixrW"" calls 5",2021-12-26T07:18:20.813Z,164050310081300
"""isaacwu @ Mhf_KbfDe4"" folds",2021-12-26T07:18:19.682Z,164050309968200
"""home game hero @ dgEP-4bywu"" raises to 5",2021-12-26T07:18:14.517Z,164050309451700
"""mikehaze @ WQjt0Mpf2J"" folds",2021-12-26T07:18:08.439Z,164050308843900
"""melon @ 6k_YazKYoG"" folds",2021-12-26T07:18:07.533Z,164050308753300
"""Mot$ @ m8FyQBZbz8"" posts a big blind of 2",2021-12-26T07:18:02.399Z,164050308239912
"""how @ v1kEn2eTHk"" posts a small blind of 1",2021-12-26T07:18:02.399Z,164050308239911
"Your hand is A♣, 5♦",2021-12-26T07:18:02.399Z,164050308239906
"Player stacks: #1 ""isaacwu @ Mhf_KbfDe4"" (104) | #2 ""jfry420 @ DxyNbHixrW"" (145) | #3 ""ArtOswald @ 8_dAbfzHo8"" (359) | #5 ""mangarino @ UBRS2d0ZyT"" (121) | #6 ""how @ v1kEn2eTHk"" (234) | #7 ""Mot$ @ m8FyQBZbz8"" (456) | #8 ""melon @ 6k_YazKYoG"" (211) | #9 ""mikehaze @ WQjt0Mpf2J"" (124) | #10 ""home game hero @ dgEP-4bywu"" (1806)",2021-12-26T07:18:02.399Z,164050308239901
"-- starting hand #470  (No Limit Texas Hold'em) (dealer: ""mangarino @ UBRS2d0ZyT"") --",2021-12-26T07:18:02.399Z,164050308239900
"-- ending hand #469 --",2021-12-26T07:17:59.396Z,164050307939602
"""ArtOswald @ 8_dAbfzHo8"" collected 5 from pot",2021-12-26T07:17:59.396Z,164050307939601
"Uncalled bet of 4 returned to ""ArtOswald @ 8_dAbfzHo8""",2021-12-26T07:17:59.396Z,164050307939600
"""how @ v1kEn2eTHk"" folds",2021-12-26T07:17:58.554Z,164050307855400
"""mangarino @ UBRS2d0ZyT"" folds",2021-12-26T07:17:54.324Z,164050307432400
"""ArtOswald @ 8_dAbfzHo8"" raises to 6",2021-12-26T07:17:53.454Z,164050307345400
"""jfry420 @ DxyNbHixrW"" folds",2021-12-26T07:17:50.580Z,164050307058000
"""isaacwu @ Mhf_KbfDe4"" folds",2021-12-26T07:17:49.186Z,164050306918600
"""home game hero @ dgEP-4bywu"" folds",2021-12-26T07:17:48.072Z,164050306807200
"""mikehaze @ WQjt0Mpf2J"" folds",2021-12-26T07:17:47.073Z,164050306707300
"""melon @ 6k_YazKYoG"" folds",2021-12-26T07:17:46.157Z,164050306615700
"""Mot$ @ m8FyQBZbz8"" folds",2021-12-26T07:17:39.758Z,164050305975800
"""how @ v1kEn2eTHk"" posts a big blind of 2",2021-12-26T07:17:36.174Z,164050305617412
"""mangarino @ UBRS2d0ZyT"" posts a small blind of 1",2021-12-26T07:17:36.174Z,164050305617411
"Your hand is 10♣, 8♥",2021-12-26T07:17:36.174Z,164050305617406
"Player stacks: #1 ""isaacwu @ Mhf_KbfDe4"" (104) | #2 ""jfry420 @ DxyNbHixrW"" (145) | #3 ""ArtOswald @ 8_dAbfzHo8"" (356) | #5 ""mangarino @ UBRS2d0ZyT"" (122) | #6 ""how @ v1kEn2eTHk"" (236) | #7 ""Mot$ @ m8FyQBZbz8"" (456) | #8 ""melon @ 6k_YazKYoG"" (211) | #9 ""mikehaze @ WQjt0Mpf2J"" (124) | #10 ""home game hero @ dgEP-4bywu"" (1806)",2021-12-26T07:17:36.174Z,164050305617401
"-- starting hand #469  (No Limit Texas Hold'em) (dealer: ""ArtOswald @ 8_dAbfzHo8"") --",2021-12-26T07:17:36.174Z,164050305617400
"-- ending hand #468 --",2021-12-26T07:17:33.182Z,164050305318202
"""ArtOswald @ 8_dAbfzHo8"" collected 20 from pot",2021-12-26T07:17:33.182Z,164050305318201
"Uncalled bet of 14 returned to ""ArtOswald @ 8_dAbfzHo8""",2021-12-26T07:17:33.182Z,164050305318200
"""jfry420 @ DxyNbHixrW"" folds",2021-12-26T07:17:32.358Z,164050305235800
"""ArtOswald @ 8_dAbfzHo8"" bets 14",2021-12-26T07:17:30.943Z,164050305094300
"Turn: J♠, 8♣, K♠ [4♣]",2021-12-26T07:17:26.472Z,164050304647200
"""jfry420 @ DxyNbHixrW"" checks",2021-12-26T07:17:25.581Z,164050304558100
"""ArtOswald @ 8_dAbfzHo8"" checks",2021-12-26T07:17:24.314Z,164050304431400
"Flop:  [J♠, 8♣, K♠]",2021-12-26T07:17:19.260Z,164050303926000
"""jfry420 @ DxyNbHixrW"" calls 9",2021-12-26T07:17:18.319Z,164050303831900
"""mangarino @ UBRS2d0ZyT"" folds",2021-12-26T07:17:17.292Z,164050303729200
"""ArtOswald @ 8_dAbfzHo8"" raises to 9",2021-12-26T07:17:16.361Z,164050303636100
"""jfry420 @ DxyNbHixrW"" calls 2",2021-12-26T07:17:11.927Z,164050303192700
"""isaacwu @ Mhf_KbfDe4"" folds",2021-12-26T07:17:10.783Z,164050303078300
"""home game hero @ dgEP-4bywu"" folds",2021-12-26T07:17:01.332Z,164050302133200
"""mikehaze @ WQjt0Mpf2J"" folds",2021-12-26T07:17:00.352Z,164050302035200
"""melon @ 6k_YazKYoG"" folds",2021-12-26T07:16:59.453Z,164050301945300
"""Mot$ @ m8FyQBZbz8"" folds",2021-12-26T07:16:55.286Z,164050301528600
"""how @ v1kEn2eTHk"" folds",2021-12-26T07:16:53.352Z,164050301335200
"""mangarino @ UBRS2d0ZyT"" posts a big blind of 2",2021-12-26T07:16:51.774Z,164050301177412
"""ArtOswald @ 8_dAbfzHo8"" posts a small blind of 1",2021-12-26T07:16:51.774Z,164050301177411
"Your hand is Q♦, 9♠",2021-12-26T07:16:51.774Z,164050301177406
"Player stacks: #1 ""isaacwu @ Mhf_KbfDe4"" (104) | #2 ""jfry420 @ DxyNbHixrW"" (154) | #3 ""ArtOswald @ 8_dAbfzHo8"" (345) | #5 ""mangarino @ UBRS2d0ZyT"" (124) | #6 ""how @ v1kEn2eTHk"" (236) | #7 ""Mot$ @ m8FyQBZbz8"" (456) | #8 ""melon @ 6k_YazKYoG"" (211) | #9 ""mikehaze @ WQjt0Mpf2J"" (124) | #10 ""home game hero @ dgEP-4bywu"" (1806)",2021-12-26T07:16:51.774Z,164050301177401
"-- starting hand #468  (No Limit Texas Hold'em) (dealer: ""jfry420 @ DxyNbHixrW"") --",2021-12-26T07:16:51.774Z,164050301177400
"-- ending hand #467 --",2021-12-26T07:16:48.664Z,164050300866402
"""jfry420 @ DxyNbHixrW"" collected 105 from pot with Pair, 10's (combination: 10♥, 10♣, Q♥, J♥, 9♦)",2021-12-26T07:16:48.664Z,164050300866401
"""jfry420 @ DxyNbHixrW"" shows a 10♥, 10♣.",2021-12-26T07:16:48.664Z,164050300866400
"""mikehaze @ WQjt0Mpf2J"" calls 12",2021-12-26T07:16:47.781Z,164050300778100
"""ArtOswald @ 8_dAbfzHo8"" folds",2021-12-26T07:16:40.663Z,164050300066300
"""jfry420 @ DxyNbHixrW"" bets 12",2021-12-26T07:16:38.680Z,164050299868000
"River: J♥, 9♦, Q♥, 3♠ [7♦]",2021-12-26T07:16:33.362Z,164050299336200
"""mikehaze @ WQjt0Mpf2J"" checks",2021-12-26T07:16:32.418Z,164050299241800
"""ArtOswald @ 8_dAbfzHo8"" checks",2021-12-26T07:16:00.960Z,164050296096000
"""jfry420 @ DxyNbHixrW"" checks",2021-12-26T07:15:55.729Z,164050295572900
"Turn: J♥, 9♦, Q♥ [3♠]",2021-12-26T07:15:54.191Z,164050295419100
"""jfry420 @ DxyNbHixrW"" calls 22",2021-12-26T07:15:53.365Z,164050295336500
"""mikehaze @ WQjt0Mpf2J"" calls 22",2021-12-26T07:15:52.180Z,164050295218000
"""ArtOswald @ 8_dAbfzHo8"" raises to 22",2021-12-26T07:15:45.497Z,164050294549700
"""jfry420 @ DxyNbHixrW"" calls 5",2021-12-26T07:15:38.390Z,164050293839000
"""mikehaze @ WQjt0Mpf2J"" bets 5",2021-12-26T07:15:37.335Z,164050293733500
"""ArtOswald @ 8_dAbfzHo8"" checks",2021-12-26T07:15:31.102Z,164050293110200
"""jfry420 @ DxyNbHixrW"" checks",2021-12-26T07:15:28.056Z,164050292805600
"Flop:  [J♥, 9♦, Q♥]",2021-12-26T07:15:24.144Z,164050292414400
"""ArtOswald @ 8_dAbfzHo8"" calls 5",2021-12-26T07:15:23.301Z,164050292330100
"""jfry420 @ DxyNbHixrW"" calls 5",2021-12-26T07:15:18.607Z,164050291860700
"""isaacwu @ Mhf_KbfDe4"" folds",2021-12-26T07:15:16.887Z,164050291688700
"""home game hero @ dgEP-4bywu"" folds",2021-12-26T07:15:12.960Z,164050291296000
"""mikehaze @ WQjt0Mpf2J"" raises to 5",2021-12-26T07:15:11.972Z,164050291197200
"""melon @ 6k_YazKYoG"" folds",2021-12-26T07:15:06.407Z,164050290640700
"""Mot$ @ m8FyQBZbz8"" folds",2021-12-26T07:15:05.491Z,164050290549100
"""how @ v1kEn2eTHk"" folds",2021-12-26T07:15:04.541Z,164050290454100
"""mangarino @ UBRS2d0ZyT"" folds",2021-12-26T07:15:00.474Z,164050290047400
"""ArtOswald @ 8_dAbfzHo8"" posts a big blind of 2",2021-12-26T07:14:59.069Z,164050289906912
"""jfry420 @ DxyNbHixrW"" posts a small blind of 1",2021-12-26T07:14:59.069Z,164050289906911
"Your hand is 6♠, 9♣",2021-12-26T07:14:59.069Z,164050289906906
"Player stacks: #1 ""isaacwu @ Mhf_KbfDe4"" (104) | #2 ""jfry420 @ DxyNbHixrW"" (88) | #3 ""ArtOswald @ 8_dAbfzHo8"" (372) | #5 ""mangarino @ UBRS2d0ZyT"" (124) | #6 ""how @ v1kEn2eTHk"" (236) | #7 ""Mot$ @ m8FyQBZbz8"" (456) | #8 ""melon @ 6k_YazKYoG"" (211) | #9 ""mikehaze @ WQjt0Mpf2J"" (163) | #10 ""home game hero @ dgEP-4bywu"" (1806)",2021-12-26T07:14:59.069Z,164050289906901
"-- starting hand #467  (No Limit Texas Hold'em) (dealer: ""isaacwu @ Mhf_KbfDe4"") --",2021-12-26T07:14:59.069Z,164050289906900
"-- ending hand #466 --",2021-12-26T07:14:56.101Z,164050289610102
"""jfry420 @ DxyNbHixrW"" collected 2 from pot",2021-12-26T07:14:56.101Z,164050289610101
"Uncalled bet of 1 returned to ""jfry420 @ DxyNbHixrW""",2021-12-26T07:14:56.101Z,164050289610100
"""isaacwu @ Mhf_KbfDe4"" folds",2021-12-26T07:14:55.268Z,164050289526800
"""home game hero @ dgEP-4bywu"" folds",2021-12-26T07:14:50.341Z,164050289034100
"""mikehaze @ WQjt0Mpf2J"" folds",2021-12-26T07:14:49.338Z,164050288933800
"""melon @ 6k_YazKYoG"" folds",2021-12-26T07:14:48.356Z,164050288835600
"""Mot$ @ m8FyQBZbz8"" folds",2021-12-26T07:14:47.358Z,164050288735800
"""how @ v1kEn2eTHk"" folds",2021-12-26T07:14:46.480Z,164050288648000
"""mangarino @ UBRS2d0ZyT"" folds",2021-12-26T07:14:42.046Z,164050288204600
"""ArtOswald @ 8_dAbfzHo8"" folds",2021-12-26T07:14:41.114Z,164050288111400
"""jfry420 @ DxyNbHixrW"" posts a big blind of 2",2021-12-26T07:14:38.016Z,164050287801613
"""isaacwu @ Mhf_KbfDe4"" posts a small blind of 1",2021-12-26T07:14:38.016Z,164050287801612
"Your hand is 6♠, 4♥",2021-12-26T07:14:38.016Z,164050287801607
"Player stacks: #1 ""isaacwu @ Mhf_KbfDe4"" (105) | #2 ""jfry420 @ DxyNbHixrW"" (87) | #3 ""ArtOswald @ 8_dAbfzHo8"" (372) | #5 ""mangarino @ UBRS2d0ZyT"" (124) | #6 ""how @ v1kEn2eTHk"" (236) | #7 ""Mot$ @ m8FyQBZbz8"" (456) | #8 ""melon @ 6k_YazKYoG"" (211) | #9 ""mikehaze @ WQjt0Mpf2J"" (163) | #10 ""home game hero @ dgEP-4bywu"" (1806)",2021-12-26T07:14:38.016Z,164050287801602
"-- starting hand #466  (No Limit Texas Hold'em) (dealer: ""home game hero @ dgEP-4bywu"") --",2021-12-26T07:14:38.016Z,164050287801601
"The player ""jfry420 @ DxyNbHixrW"" joined the game with a stack of 87.",2021-12-26T07:14:38.016Z,164050287801600
"-- ending hand #465 --",2021-12-26T07:14:35.092Z,164050287509202
"""how @ v1kEn2eTHk"" collected 5 from pot",2021-12-26T07:14:35.092Z,164050287509201
"Uncalled bet of 4 returned to ""how @ v1kEn2eTHk""",2021-12-26T07:14:35.092Z,164050287509200
"""isaacwu @ Mhf_KbfDe4"" folds",2021-12-26T07:14:34.240Z,164050287424000
"The admin approved the player ""jfry420 @ DxyNbHixrW"" participation with a stack of 87.",2021-12-26T07:14:32.416Z,164050287241600
"""home game hero @ dgEP-4bywu"" folds",2021-12-26T07:14:31.518Z,164050287151800
"The player ""jfry420 @ DxyNbHixrW"" requested a seat.",2021-12-26T07:14:28.675Z,164050286867500
"""mikehaze @ WQjt0Mpf2J"" folds",2021-12-26T07:14:24.103Z,164050286410300
"""melon @ 6k_YazKYoG"" folds",2021-12-26T07:14:23.125Z,164050286312500
"""Mot$ @ m8FyQBZbz8"" folds",2021-12-26T07:14:22.141Z,164050286214100
"""how @ v1kEn2eTHk"" raises to 6",2021-12-26T07:14:10.101Z,164050285010100
"""mangarino @ UBRS2d0ZyT"" folds",2021-12-26T07:14:07.911Z,164050284791100
"""ArtOswald @ 8_dAbfzHo8"" folds",2021-12-26T07:14:07.019Z,164050284701900
"""isaacwu @ Mhf_KbfDe4"" posts a big blind of 2",2021-12-26T07:14:04.788Z,164050284478811
"""home game hero @ dgEP-4bywu"" posts a small blind of 1",2021-12-26T07:14:04.788Z,164050284478810
"Your hand is 3♥, 3♠",2021-12-26T07:14:04.788Z,164050284478805
"Player stacks: #1 ""isaacwu @ Mhf_KbfDe4"" (107) | #3 ""ArtOswald @ 8_dAbfzHo8"" (372) | #5 ""mangarino @ UBRS2d0ZyT"" (124) | #6 ""how @ v1kEn2eTHk"" (233) | #7 ""Mot$ @ m8FyQBZbz8"" (456) | #8 ""melon @ 6k_YazKYoG"" (211) | #9 ""mikehaze @ WQjt0Mpf2J"" (163) | #10 ""home game hero @ dgEP-4bywu"" (1807)",2021-12-26T07:14:04.788Z,164050284478801
"-- starting hand #465  (No Limit Texas Hold'em) (dealer: ""mikehaze @ WQjt0Mpf2J"") --",2021-12-26T07:14:04.788Z,164050284478800
"-- ending hand #464 --",2021-12-26T07:14:01.797Z,164050284179702
"""home game hero @ dgEP-4bywu"" collected 2 from pot",2021-12-26T07:14:01.797Z,164050284179701
"Uncalled bet of 1 returned to ""home game hero @ dgEP-4bywu""",2021-12-26T07:14:01.797Z,164050284179700
"""mikehaze @ WQjt0Mpf2J"" folds",2021-12-26T07:14:00.889Z,164050284088900
"""melon @ 6k_YazKYoG"" folds",2021-12-26T07:13:59.996Z,164050283999600
"""Mot$ @ m8FyQBZbz8"" folds",2021-12-26T07:13:57.046Z,164050283704600
"""how @ v1kEn2eTHk"" folds",2021-12-26T07:13:56.076Z,164050283607600
"""mangarino @ UBRS2d0ZyT"" folds",2021-12-26T07:13:51.014Z,164050283101400
"""ArtOswald @ 8_dAbfzHo8"" folds",2021-12-26T07:13:50.075Z,164050283007500
"""isaacwu @ Mhf_KbfDe4"" folds",2021-12-26T07:13:49.163Z,164050282916300
"""home game hero @ dgEP-4bywu"" posts a big blind of 2",2021-12-26T07:13:47.581Z,164050282758111
"""mikehaze @ WQjt0Mpf2J"" posts a small blind of 1",2021-12-26T07:13:47.581Z,164050282758110
"Your hand is J♠, 9♦",2021-12-26T07:13:47.581Z,164050282758105
"Player stacks: #1 ""isaacwu @ Mhf_KbfDe4"" (107) | #3 ""ArtOswald @ 8_dAbfzHo8"" (372) | #5 ""mangarino @ UBRS2d0ZyT"" (124) | #6 ""how @ v1kEn2eTHk"" (233) | #7 ""Mot$ @ m8FyQBZbz8"" (456) | #8 ""melon @ 6k_YazKYoG"" (211) | #9 ""mikehaze @ WQjt0Mpf2J"" (164) | #10 ""home game hero @ dgEP-4bywu"" (1806)",2021-12-26T07:13:47.581Z,164050282758101
"-- starting hand #464  (No Limit Texas Hold'em) (dealer: ""melon @ 6k_YazKYoG"") --",2021-12-26T07:13:47.581Z,164050282758100
"""isaacwu @ Mhf_KbfDe4"" shows a 5♠, 7♠.",2021-12-26T07:13:44.593Z,164050282459300
"-- ending hand #463 --",2021-12-26T07:13:43.973Z,164050282397302
"""how @ v1kEn2eTHk"" collected 39 from pot",2021-12-26T07:13:43.973Z,164050282397301
"Uncalled bet of 18 returned to ""how @ v1kEn2eTHk""",2021-12-26T07:13:43.973Z,164050282397300
"""ArtOswald @ 8_dAbfzHo8"" folds",2021-12-26T07:13:43.074Z,164050282307400
"""how @ v1kEn2eTHk"" bets 18",2021-12-26T07:13:41.106Z,164050282110600
"""ArtOswald @ 8_dAbfzHo8"" checks",2021-12-26T07:13:38.612Z,164050281861200
"River: 6♦, 3♣, 4♣, 3♠ [A♦]",2021-12-26T07:13:36.167Z,164050281616700
"""how @ v1kEn2eTHk"" checks",2021-12-26T07:13:35.207Z,164050281520700
"""ArtOswald @ 8_dAbfzHo8"" checks",2021-12-26T07:13:32.095Z,164050281209500
"Turn: 6♦, 3♣, 4♣ [3♠]",2021-12-26T07:13:27.925Z,164050280792500
"""how @ v1kEn2eTHk"" checks",2021-12-26T07:13:27.109Z,164050280710900
"""ArtOswald @ 8_dAbfzHo8"" checks",2021-12-26T07:13:24.611Z,164050280461100
